File  Contact Angle  Base Radius
             
g_rad_dmap_0pc_w1000_0.0ns_0.5ns.xvg  136.218683106  1.35305784491
g_rad_dmap_0pc_w1000_0.5ns_1.0ns.xvg  124.152292986  1.66149728704
g_rad_dmap_0pc_w1000_1.0ns_1.5ns.xvg  122.94340202  1.69495835808
g_rad_dmap_0pc_w1000_1.5ns_2.0ns.xvg  123.893502542  1.67037962922
g_rad_dmap_0pc_w1000_2.0ns_2.5ns.xvg  122.947834838  1.69274109439
g_rad_dmap_0pc_w1000_2.5ns_3.0ns.xvg  121.486178625  1.73093689348
g_rad_dmap_0pc_w1000_3.0ns_3.5ns.xvg  124.87978422  1.64765219098
g_rad_dmap_0pc_w1000_3.5ns_4.0ns.xvg  125.06897217  1.64342426578
g_rad_dmap_0pc_w1000_4.0ns_4.5ns.xvg  122.129673059  1.71337347891
g_rad_dmap_0pc_w1000_4.5ns_5.0ns.xvg  121.839539821  1.7245029613
g_rad_dmap_0pc_w1000_5.0ns_5.5ns.xvg  121.327394828  1.73317860464
g_rad_dmap_0pc_w1000_5.5ns_6.0ns.xvg  123.673424804  1.67519193438
g_rad_dmap_0pc_w1000_6.0ns_6.5ns.xvg  124.802104262  1.64337645844
g_rad_dmap_0pc_w1000_6.5ns_7.0ns.xvg  124.364430261  1.65760814506
g_rad_dmap_0pc_w1000_7.0ns_7.5ns.xvg  123.386604248  1.68493137698
g_rad_dmap_0pc_w1000_7.5ns_8.0ns.xvg  121.934335128  1.7204892541
g_rad_dmap_0pc_w1000_8.0ns_8.5ns.xvg  122.756689751  1.69563828766
g_rad_dmap_0pc_w1000_8.5ns_9.0ns.xvg  126.870704675  1.59622553859
g_rad_dmap_0pc_w1000_9.0ns_9.5ns.xvg  124.503500811  1.65918281757
g_rad_dmap_0pc_w1000_9.5ns_10.0ns.xvg  123.554835541  1.68272571579
g_rad_dmap_0pc_w1000_10.0ns_10.5ns.xvg  122.447680339  1.70317047937
g_rad_dmap_0pc_w1000_10.5ns_11.0ns.xvg  122.92066179  1.69248229685
g_rad_dmap_0pc_w1000_11.0ns_11.5ns.xvg  122.398655217  1.70572632544
g_rad_dmap_0pc_w1000_11.5ns_12.0ns.xvg  122.312027964  1.70947008443
g_rad_dmap_0pc_w1000_12.0ns_12.5ns.xvg  123.056875835  1.68903338102
g_rad_dmap_0pc_w1000_12.5ns_13.0ns.xvg  121.77781662  1.72155342529
g_rad_dmap_0pc_w1000_13.0ns_13.5ns.xvg  123.401762238  1.68118459511
g_rad_dmap_0pc_w1000_13.5ns_14.0ns.xvg  122.021557828  1.71555402138
g_rad_dmap_0pc_w1000_14.0ns_14.5ns.xvg  123.302643174  1.68369903114
g_rad_dmap_0pc_w1000_14.5ns_15.0ns.xvg  122.901855718  1.69827997358
g_rad_dmap_0pc_w1000_15.0ns_15.5ns.xvg  124.685239126  1.65028830722
g_rad_dmap_0pc_w1000_15.5ns_16.0ns.xvg  124.503326119  1.65433884804
g_rad_dmap_0pc_w1000_16.0ns_16.5ns.xvg  122.970211015  1.69207204509
g_rad_dmap_0pc_w1000_16.5ns_17.0ns.xvg  124.897143053  1.64988643588
g_rad_dmap_0pc_w1000_17.0ns_17.5ns.xvg  122.684919255  1.69895954388
g_rad_dmap_0pc_w1000_17.5ns_18.0ns.xvg  125.77963235  1.61719538087
g_rad_dmap_0pc_w1000_18.0ns_18.5ns.xvg  123.46388097  1.67694875756
g_rad_dmap_0pc_w1000_18.5ns_19.0ns.xvg  123.720767057  1.67312578859
g_rad_dmap_0pc_w1000_19.0ns_19.5ns.xvg  123.470383341  1.6795630603
g_rad_dmap_0pc_w1000_19.5ns_20.0ns.xvg  124.032747941  1.66374414526
             
g_rad_dmap_0pc_w2000_0.0ns_0.5ns.xvg  177.198779887  0.114422327448
