File  Contact Angle  Base Radius
             
g_rad_dmap_17pc_w9000_0.0ns_0.5ns.xvg  nan  nan
g_rad_dmap_17pc_w9000_0.5ns_1.0ns.xvg  165.295399935  0.953228104487
g_rad_dmap_17pc_w9000_1.0ns_1.5ns.xvg  nan  nan
g_rad_dmap_17pc_w9000_1.5ns_2.0ns.xvg  nan  nan
g_rad_dmap_17pc_w9000_2.0ns_2.5ns.xvg  169.837853156  0.655516993303
g_rad_dmap_17pc_w9000_2.5ns_3.0ns.xvg  168.318367589  0.750852071036
g_rad_dmap_17pc_w9000_3.0ns_3.5ns.xvg  170.991609408  0.575182240781
g_rad_dmap_17pc_w9000_3.5ns_4.0ns.xvg  159.687337419  1.29438578116
g_rad_dmap_17pc_w9000_4.0ns_4.5ns.xvg  157.032340223  1.45100020665
g_rad_dmap_17pc_w9000_4.5ns_5.0ns.xvg  150.922217478  1.8330700967
g_rad_dmap_17pc_w9000_5.0ns_5.5ns.xvg  151.404213797  1.78923478697
g_rad_dmap_17pc_w9000_5.5ns_6.0ns.xvg  157.323925352  1.40828619349
g_rad_dmap_17pc_w9000_6.0ns_6.5ns.xvg  142.648070061  2.32840930532
g_rad_dmap_17pc_w9000_6.5ns_7.0ns.xvg  137.963608162  2.60831181021
g_rad_dmap_17pc_w9000_7.0ns_7.5ns.xvg  139.241943972  2.51141732137
g_rad_dmap_17pc_w9000_7.5ns_8.0ns.xvg  134.343089184  2.80914636964
g_rad_dmap_17pc_w9000_8.0ns_8.5ns.xvg  137.182093959  2.61534021323
g_rad_dmap_17pc_w9000_8.5ns_9.0ns.xvg  129.917912521  3.05364429159
g_rad_dmap_17pc_w9000_9.0ns_9.5ns.xvg  129.376053924  3.08415928393
g_rad_dmap_17pc_w9000_9.5ns_10.0ns.xvg  133.434906793  2.81528969077
g_rad_dmap_17pc_w9000_10.0ns_10.5ns.xvg  125.511117326  3.2940817973
g_rad_dmap_17pc_w9000_10.5ns_11.0ns.xvg  123.21530707  3.40931388482
