File  Contact Angle  Base Radius
             
g_rad_dmap_11pc_w6500_0.0ns_0.5ns.xvg  165.126016175  0.875222420311
g_rad_dmap_11pc_w6500_0.5ns_1.0ns.xvg  150.574608474  1.72188980055
g_rad_dmap_11pc_w6500_1.0ns_1.5ns.xvg  149.780610206  1.76088819626
g_rad_dmap_11pc_w6500_1.5ns_2.0ns.xvg  146.082927364  1.95912384897
g_rad_dmap_11pc_w6500_2.0ns_2.5ns.xvg  149.331938511  1.76573636595
g_rad_dmap_11pc_w6500_2.5ns_3.0ns.xvg  141.060783488  2.22977188653
g_rad_dmap_11pc_w6500_3.0ns_3.5ns.xvg  140.022095806  2.27546503491
g_rad_dmap_11pc_w6500_3.5ns_4.0ns.xvg  138.561848896  2.35430733107
g_rad_dmap_11pc_w6500_4.0ns_4.5ns.xvg  138.50015347  2.34421165762
g_rad_dmap_11pc_w6500_4.5ns_5.0ns.xvg  136.034235906  2.47198375026
g_rad_dmap_11pc_w6500_5.0ns_5.5ns.xvg  130.645095161  2.76084294505
g_rad_dmap_11pc_w6500_5.5ns_6.0ns.xvg  131.402642409  2.69946872694
g_rad_dmap_11pc_w6500_6.0ns_6.5ns.xvg  131.759274469  2.67990025877
g_rad_dmap_11pc_w6500_6.5ns_7.0ns.xvg  130.372238929  2.7420765432
g_rad_dmap_11pc_w6500_7.0ns_7.5ns.xvg  130.22601971  2.73294295385
g_rad_dmap_11pc_w6500_7.5ns_8.0ns.xvg  124.874584449  3.01828948917
g_rad_dmap_11pc_w6500_8.0ns_8.5ns.xvg  120.439228265  3.22285791473
g_rad_dmap_11pc_w6500_8.5ns_9.0ns.xvg  120.847974726  3.21926051277
g_rad_dmap_11pc_w6500_9.0ns_9.5ns.xvg  121.936836705  3.15652114391
g_rad_dmap_11pc_w6500_9.5ns_10.0ns.xvg  118.086606118  3.31968566141
g_rad_dmap_11pc_w6500_10.0ns_10.5ns.xvg  118.586969645  3.31622575905
g_rad_dmap_11pc_w6500_10.5ns_11.0ns.xvg  118.030280496  3.33952109804
g_rad_dmap_11pc_w6500_11.0ns_11.5ns.xvg  117.872121749  3.35272279641
g_rad_dmap_11pc_w6500_11.5ns_12.0ns.xvg  116.766648469  3.39311419573
g_rad_dmap_11pc_w6500_12.0ns_12.5ns.xvg  116.637119496  3.40063854457
g_rad_dmap_11pc_w6500_12.5ns_13.0ns.xvg  116.063162447  3.41962699493
g_rad_dmap_11pc_w6500_13.0ns_13.5ns.xvg  115.443156782  3.44680026761
g_rad_dmap_11pc_w6500_13.5ns_14.0ns.xvg  115.359032054  3.45652223635
g_rad_dmap_11pc_w6500_14.0ns_14.5ns.xvg  115.453985724  3.4510149519
g_rad_dmap_11pc_w6500_14.5ns_15.0ns.xvg  115.326378016  3.45573608339
g_rad_dmap_11pc_w6500_15.0ns_15.5ns.xvg  115.447828737  3.45024839488
g_rad_dmap_11pc_w6500_15.5ns_16.0ns.xvg  114.417662482  3.48531592047
g_rad_dmap_11pc_w6500_16.0ns_16.5ns.xvg  114.450748507  3.4899727514
g_rad_dmap_11pc_w6500_16.5ns_17.0ns.xvg  114.505455831  3.49262578243
g_rad_dmap_11pc_w6500_17.0ns_17.5ns.xvg  114.399234087  3.49515761997
g_rad_dmap_11pc_w6500_17.5ns_18.0ns.xvg  114.400465303  3.49746543019
g_rad_dmap_11pc_w6500_18.0ns_18.5ns.xvg  114.468483142  3.49451211692
g_rad_dmap_11pc_w6500_18.5ns_19.0ns.xvg  113.881452608  3.51679020007
g_rad_dmap_11pc_w6500_19.0ns_19.5ns.xvg  113.19750384  3.54481351051
g_rad_dmap_11pc_w6500_19.5ns_20.0ns.xvg  112.982432762  3.55041783614
             
