File  Contact Angle  Base Radius
             
g_rad_dmap_5pc_w1000_0.0ns_0.5ns.xvg  114.23085873  1.8824909395
g_rad_dmap_5pc_w1000_0.5ns_1.0ns.xvg  115.508646591  1.85848962799
g_rad_dmap_5pc_w1000_1.0ns_1.5ns.xvg  112.840599515  1.9221156752
g_rad_dmap_5pc_w1000_1.5ns_2.0ns.xvg  112.499521289  1.92589760307
g_rad_dmap_5pc_w1000_2.0ns_2.5ns.xvg  114.433306961  1.88027519429
g_rad_dmap_5pc_w1000_2.5ns_3.0ns.xvg  113.938922697  1.88970865102
g_rad_dmap_5pc_w1000_3.0ns_3.5ns.xvg  112.481646689  1.92516663448
g_rad_dmap_5pc_w1000_3.5ns_4.0ns.xvg  112.702612401  1.9142269161
g_rad_dmap_5pc_w1000_4.0ns_4.5ns.xvg  111.244974013  1.95203728561
g_rad_dmap_5pc_w1000_4.5ns_5.0ns.xvg  111.999166393  1.93215500331
g_rad_dmap_5pc_w1000_5.0ns_5.5ns.xvg  111.919679682  1.93349951872
g_rad_dmap_5pc_w1000_5.5ns_6.0ns.xvg  114.39982446  1.88058861969
g_rad_dmap_5pc_w1000_6.0ns_6.5ns.xvg  112.968975879  1.91074669137
g_rad_dmap_5pc_w1000_6.5ns_7.0ns.xvg  113.695998309  1.8940997771
g_rad_dmap_5pc_w1000_7.0ns_7.5ns.xvg  111.970328742  1.93506745154
g_rad_dmap_5pc_w1000_7.5ns_8.0ns.xvg  112.302391371  1.92413748932
g_rad_dmap_5pc_w1000_8.0ns_8.5ns.xvg  114.712495481  1.87093240663
g_rad_dmap_5pc_w1000_8.5ns_9.0ns.xvg  114.924235985  1.86801970802
g_rad_dmap_5pc_w1000_9.0ns_9.5ns.xvg  114.279492897  1.87864763951
g_rad_dmap_5pc_w1000_9.5ns_10.0ns.xvg  115.129278497  1.86218161874
g_rad_dmap_5pc_w1000_10.0ns_10.5ns.xvg  112.790967931  1.91438947025
g_rad_dmap_5pc_w1000_10.5ns_11.0ns.xvg  111.76539212  1.93266369111
g_rad_dmap_5pc_w1000_11.0ns_11.5ns.xvg  113.19054507  1.90140561018
g_rad_dmap_5pc_w1000_11.5ns_12.0ns.xvg  113.962800589  1.8900370669
g_rad_dmap_5pc_w1000_12.0ns_12.5ns.xvg  115.742709905  1.84683593818
g_rad_dmap_5pc_w1000_12.5ns_13.0ns.xvg  112.720790015  1.91370997821
g_rad_dmap_5pc_w1000_13.0ns_13.5ns.xvg  113.118470449  1.90576042822
g_rad_dmap_5pc_w1000_13.5ns_14.0ns.xvg  112.701670209  1.91657361789
g_rad_dmap_5pc_w1000_14.0ns_14.5ns.xvg  113.336713495  1.90033001944
g_rad_dmap_5pc_w1000_14.5ns_15.0ns.xvg  113.231365715  1.89668486174
g_rad_dmap_5pc_w1000_15.0ns_15.5ns.xvg  110.421310746  1.96648135303
g_rad_dmap_5pc_w1000_15.5ns_16.0ns.xvg  112.00843749  1.93026868433
g_rad_dmap_5pc_w1000_16.0ns_16.5ns.xvg  111.497879074  1.93634059139
g_rad_dmap_5pc_w1000_16.5ns_17.0ns.xvg  113.859480011  1.88863186629
g_rad_dmap_5pc_w1000_17.0ns_17.5ns.xvg  113.768389038  1.89076385713
g_rad_dmap_5pc_w1000_17.5ns_18.0ns.xvg  116.495955929  1.82637734704
g_rad_dmap_5pc_w1000_18.0ns_18.5ns.xvg  113.304318135  1.9002631378
g_rad_dmap_5pc_w1000_18.5ns_19.0ns.xvg  113.810007241  1.89022111848
g_rad_dmap_5pc_w1000_19.0ns_19.5ns.xvg  115.339212137  1.84789106448
g_rad_dmap_5pc_w1000_19.5ns_20.0ns.xvg  112.45776391  1.91886148741
             
g_rad_dmap_5pc_w2000_0.0ns_0.5ns.xvg  149.955075188  1.19041785091
g_rad_dmap_5pc_w2000_0.5ns_1.0ns.xvg  133.654122238  1.77200956207
g_rad_dmap_5pc_w2000_1.0ns_1.5ns.xvg  123.288749077  2.10899057077
g_rad_dmap_5pc_w2000_1.5ns_2.0ns.xvg  120.880879677  2.18212539576
g_rad_dmap_5pc_w2000_2.0ns_2.5ns.xvg  121.249002379  2.17003386242
g_rad_dmap_5pc_w2000_2.5ns_3.0ns.xvg  121.194962686  2.17347339743
g_rad_dmap_5pc_w2000_3.0ns_3.5ns.xvg  120.634200615  2.18596744558
g_rad_dmap_5pc_w2000_3.5ns_4.0ns.xvg  120.831844665  2.17989981991
