File  Contact Angle  Base Radius
             
g_rad_dmap_11pc_w1000_0.0ns_0.5ns.xvg  138.523117715  1.3049650304
g_rad_dmap_11pc_w1000_0.5ns_1.0ns.xvg  129.266825057  1.58053966309
g_rad_dmap_11pc_w1000_1.0ns_1.5ns.xvg  127.431909776  1.6245185042
g_rad_dmap_11pc_w1000_1.5ns_2.0ns.xvg  127.175296639  1.63257735481
g_rad_dmap_11pc_w1000_2.0ns_2.5ns.xvg  130.020204193  1.55837839315
g_rad_dmap_11pc_w1000_2.5ns_3.0ns.xvg  124.72323136  1.69942043248
g_rad_dmap_11pc_w1000_3.0ns_3.5ns.xvg  121.971541046  1.76683555157
g_rad_dmap_11pc_w1000_3.5ns_4.0ns.xvg  123.683109965  1.72537942972
g_rad_dmap_11pc_w1000_4.0ns_4.5ns.xvg  124.604563552  1.69752230851
g_rad_dmap_11pc_w1000_4.5ns_5.0ns.xvg  124.443677691  1.70540879286
g_rad_dmap_11pc_w1000_5.0ns_5.5ns.xvg  123.807475311  1.71601077643
g_rad_dmap_11pc_w1000_5.5ns_6.0ns.xvg  125.132308678  1.68456291969
g_rad_dmap_11pc_w1000_6.0ns_6.5ns.xvg  123.538921568  1.72936096986
g_rad_dmap_11pc_w1000_6.5ns_7.0ns.xvg  122.251475095  1.75784539009
g_rad_dmap_11pc_w1000_7.0ns_7.5ns.xvg  124.640603536  1.69607790079
g_rad_dmap_11pc_w1000_7.5ns_8.0ns.xvg  121.82421285  1.76720527664
g_rad_dmap_11pc_w1000_8.0ns_8.5ns.xvg  124.303752036  1.7064374409
g_rad_dmap_11pc_w1000_8.5ns_9.0ns.xvg  127.756689913  1.61513857281
g_rad_dmap_11pc_w1000_9.0ns_9.5ns.xvg  128.08608247  1.60941958741
g_rad_dmap_11pc_w1000_9.5ns_10.0ns.xvg  128.705083906  1.59020844228
g_rad_dmap_11pc_w1000_10.0ns_10.5ns.xvg  125.948364892  1.65900360574
g_rad_dmap_11pc_w1000_10.5ns_11.0ns.xvg  126.623591547  1.646185215
g_rad_dmap_11pc_w1000_11.0ns_11.5ns.xvg  126.734017601  1.64767690035
g_rad_dmap_11pc_w1000_11.5ns_12.0ns.xvg  130.30981313  1.54836250472
g_rad_dmap_11pc_w1000_12.0ns_12.5ns.xvg  129.368973849  1.57145659398
g_rad_dmap_11pc_w1000_12.5ns_13.0ns.xvg  125.475223405  1.67713769398
g_rad_dmap_11pc_w1000_13.0ns_13.5ns.xvg  128.128417672  1.60354452667
g_rad_dmap_11pc_w1000_13.5ns_14.0ns.xvg  128.172419799  1.60586490132
g_rad_dmap_11pc_w1000_14.0ns_14.5ns.xvg  127.691498905  1.62001251129
g_rad_dmap_11pc_w1000_14.5ns_15.0ns.xvg  127.638066994  1.61921354267
g_rad_dmap_11pc_w1000_15.0ns_15.5ns.xvg  129.764129826  1.56441958462
g_rad_dmap_11pc_w1000_15.5ns_16.0ns.xvg  130.493268446  1.54231114791
g_rad_dmap_11pc_w1000_16.0ns_16.5ns.xvg  126.827836419  1.64048889643
g_rad_dmap_11pc_w1000_16.5ns_17.0ns.xvg  127.530559219  1.62060075808
g_rad_dmap_11pc_w1000_17.0ns_17.5ns.xvg  126.988049113  1.63077006755
g_rad_dmap_11pc_w1000_17.5ns_18.0ns.xvg  126.916652681  1.63725202691
g_rad_dmap_11pc_w1000_18.0ns_18.5ns.xvg  125.789633628  1.66325165029
g_rad_dmap_11pc_w1000_18.5ns_19.0ns.xvg  126.825913578  1.6361544097
g_rad_dmap_11pc_w1000_19.0ns_19.5ns.xvg  128.848150976  1.58249947155
g_rad_dmap_11pc_w1000_19.5ns_20.0ns.xvg  126.53469308  1.64599671273
g_rad_dmap_11pc_w1000_20.0ns_20.5ns.xvg  126.947488234  1.63925354366
g_rad_dmap_11pc_w1000_20.5ns_21.0ns.xvg  129.218063461  1.57581585957
g_rad_dmap_11pc_w1000_21.0ns_21.5ns.xvg  130.505374911  1.54041621629
g_rad_dmap_11pc_w1000_21.5ns_22.0ns.xvg  129.699742918  1.55625039439
g_rad_dmap_11pc_w1000_22.0ns_22.5ns.xvg  125.394666655  1.6756434122
g_rad_dmap_11pc_w1000_22.5ns_23.0ns.xvg  122.643530439  1.74512273057
g_rad_dmap_11pc_w1000_23.0ns_23.5ns.xvg  124.553684268  1.6995952697
g_rad_dmap_11pc_w1000_23.5ns_24.0ns.xvg  121.603476992  1.77423775755
g_rad_dmap_11pc_w1000_24.0ns_24.5ns.xvg  123.582073695  1.71947397817
g_rad_dmap_11pc_w1000_24.5ns_25.0ns.xvg  122.739048236  1.7398176667
g_rad_dmap_11pc_w1000_25.0ns_25.5ns.xvg  120.487523803  1.80409487636
g_rad_dmap_11pc_w1000_25.5ns_26.0ns.xvg  122.785267931  1.74061007113
g_rad_dmap_11pc_w1000_26.0ns_26.5ns.xvg  119.792023  1.82001718285
g_rad_dmap_11pc_w1000_26.5ns_27.0ns.xvg  123.800721054  1.7150171674
g_rad_dmap_11pc_w1000_27.0ns_27.5ns.xvg  123.841498502  1.71840296237
g_rad_dmap_11pc_w1000_27.5ns_28.0ns.xvg  119.681073653  1.81471523071
g_rad_dmap_11pc_w1000_28.0ns_28.5ns.xvg  118.557115417  1.84949473543
g_rad_dmap_11pc_w1000_28.5ns_29.0ns.xvg  121.010828563  1.78775666939
g_rad_dmap_11pc_w1000_29.0ns_29.5ns.xvg  123.601159811  1.71654698141
g_rad_dmap_11pc_w1000_29.5ns_30.0ns.xvg  124.321717654  1.69893374367
g_rad_dmap_11pc_w1000_30.0ns_30.5ns.xvg  118.90904063  1.83690222231
g_rad_dmap_11pc_w1000_30.5ns_31.0ns.xvg  117.079661563  1.88465513077
g_rad_dmap_11pc_w1000_31.0ns_31.5ns.xvg  116.46779855  1.8963993215
g_rad_dmap_11pc_w1000_31.5ns_32.0ns.xvg  117.039505152  1.88703345935
g_rad_dmap_11pc_w1000_32.0ns_32.5ns.xvg  114.895039289  1.93071305893
g_rad_dmap_11pc_w1000_32.5ns_33.0ns.xvg  116.409665116  1.90093117767
g_rad_dmap_11pc_w1000_33.0ns_33.5ns.xvg  117.873316301  1.86674301199
g_rad_dmap_11pc_w1000_33.5ns_34.0ns.xvg  116.851437521  1.88962395974
g_rad_dmap_11pc_w1000_34.0ns_34.5ns.xvg  118.070528859  1.85775272245
g_rad_dmap_11pc_w1000_34.5ns_35.0ns.xvg  121.260571431  1.77563193639
g_rad_dmap_11pc_w1000_35.0ns_35.5ns.xvg  117.673391881  1.86757879905
g_rad_dmap_11pc_w1000_35.5ns_36.0ns.xvg  117.716090103  1.86172857819
g_rad_dmap_11pc_w1000_36.0ns_36.5ns.xvg  116.941731782  1.88308720696
