File  Contact Angle  Base Radius
             
g_rad_dmap_5pc_w1000_0.0ns_0.5ns.xvg  155.46083597  0.814232964321
g_rad_dmap_5pc_w1000_0.5ns_1.0ns.xvg  144.610269448  1.14799683643
g_rad_dmap_5pc_w1000_1.0ns_1.5ns.xvg  143.081028098  1.19217065484
g_rad_dmap_5pc_w1000_1.5ns_2.0ns.xvg  133.888733089  1.45553026481
g_rad_dmap_5pc_w1000_2.0ns_2.5ns.xvg  135.157136159  1.41797638143
g_rad_dmap_5pc_w1000_2.5ns_3.0ns.xvg  137.150958197  1.36345743202
g_rad_dmap_5pc_w1000_3.0ns_3.5ns.xvg  136.559944392  1.38522717701
g_rad_dmap_5pc_w1000_3.5ns_4.0ns.xvg  139.39968632  1.29871397414
g_rad_dmap_5pc_w1000_4.0ns_4.5ns.xvg  142.893951954  1.19973091612
g_rad_dmap_5pc_w1000_4.5ns_5.0ns.xvg  142.18623774  1.21812527747
g_rad_dmap_5pc_w1000_5.0ns_5.5ns.xvg  142.766668797  1.20271129863
g_rad_dmap_5pc_w1000_5.5ns_6.0ns.xvg  141.585798256  1.23452166513
g_rad_dmap_5pc_w1000_6.0ns_6.5ns.xvg  140.843342758  1.25856291387
g_rad_dmap_5pc_w1000_6.5ns_7.0ns.xvg  140.340612664  1.27397283531
g_rad_dmap_5pc_w1000_7.0ns_7.5ns.xvg  140.822662521  1.25986817933
g_rad_dmap_5pc_w1000_7.5ns_8.0ns.xvg  142.880484107  1.19855146777
g_rad_dmap_5pc_w1000_8.0ns_8.5ns.xvg  140.335545991  1.27317373778
g_rad_dmap_5pc_w1000_8.5ns_9.0ns.xvg  140.696352566  1.25931098058
g_rad_dmap_5pc_w1000_9.0ns_9.5ns.xvg  140.779149269  1.25812575031
g_rad_dmap_5pc_w1000_9.5ns_10.0ns.xvg  142.664192696  1.20503366356
g_rad_dmap_5pc_w1000_10.0ns_10.5ns.xvg  142.625416593  1.2066869731
g_rad_dmap_5pc_w1000_10.5ns_11.0ns.xvg  142.063180407  1.22258013415
g_rad_dmap_5pc_w1000_11.0ns_11.5ns.xvg  141.521788131  1.23837972628
g_rad_dmap_5pc_w1000_11.5ns_12.0ns.xvg  143.85498923  1.17003560635
