Contact Angle  Base Radius
#File:  11 1000
117.544721929  1.75210756282
107.853800674  2.0190896414
108.551114073  2.00268370843
103.823386437  2.0969046074
103.158033431  2.10900307206
101.153995678  2.15843701453
103.14252616  2.11617795243
104.085859549  2.08536637222
102.744231626  2.11601085668
103.339951863  2.10862934629
102.357192218  2.13037202398
102.856302425  2.11871370146
101.630222406  2.14392387419
98.8211419059  2.19607680921
100.042065523  2.17194165557
97.0500799364  2.22862216851
102.917192451  2.11222789956
104.051423791  2.08957969374
100.112784014  2.16573358679
101.197912637  2.14718399852
99.0460415559  2.19385884852
98.3786288284  2.20133895083
96.1384659069  2.25539488092
97.3790215179  2.22579435839
99.7531015132  2.17445502804
99.5413946143  2.18163787433
95.9062543775  2.25299194849
96.8839883258  2.23502899012
96.4403456882  2.23688549235
96.4045919526  2.24485180659
95.0419735801  2.26927057142
97.1495822158  2.22469872451
99.0187656007  2.19037566533
98.0453579222  2.20548449927
96.6504597543  2.23665813197
97.3764931164  2.22068580333
95.2281741096  2.26526024652
96.3601171422  2.23810252794
95.3957943008  2.25908315595
95.1695980173  2.26070169413
#File:  11 2000
169.446864176  0.41722947333
116.388092106  2.22196049401
111.133983459  2.44397413478
106.38824555  2.57384276943
104.20344615  2.63803722128
101.381217031  2.70079291009
100.835212981  2.72071980505
99.830927903  2.74676586027
101.838178539  2.68936830564
102.70344854  2.67366744483
102.946226995  2.66960806258
101.63277215  2.70022333063
102.317817621  2.68080266225
105.123306291  2.61472894339
104.886809936  2.61690120183
105.261542339  2.60834789631
105.076677734  2.60840763254
105.777733444  2.59621544659
108.298117579  2.52096894355
106.948179981  2.55715190959
106.25631041  2.57550764083
106.384466184  2.57033280767
107.210652768  2.5554464723
106.130696242  2.58886232504
105.19812264  2.60796571542
104.905447553  2.61265084567
105.706557713  2.58924517618
106.811455994  2.56412231584
107.01273299  2.55178495249
104.791236239  2.61821039747
104.327451375  2.62513332351
104.876568116  2.60993592289
105.314764144  2.59737486394
106.334908367  2.57214651649
105.488515606  2.59203034579
106.305092631  2.57361268556
106.72218671  2.56168086795
106.491119101  2.57067292797
105.006784316  2.60866292711
106.330083645  2.56951405715
#File:  11 3000
nan  nan
159.643750713  0.894211432553
130.832063429  2.07867085732
122.281524782  2.38952424497
113.245676366  2.69987757965
108.456954979  2.86392477657
106.373179159  2.92506885218
105.044359176  2.96641601698
104.024295165  2.99910342394
103.864636564  3.00050388732
104.167321871  2.99871529866
104.247780416  2.98927945391
104.164724488  2.99206637073
102.914337482  3.0317359582
102.997785777  3.0277200291
104.204326508  2.9881245638
103.392199315  3.01929372862
103.625556654  3.0061743379
103.405317803  3.01434959235
103.587931015  3.00912477464
103.343964853  3.01484890195
103.432136995  3.01424820221
103.483486288  3.01073623279
104.608972261  2.97654643382
104.240673496  2.99163354294
104.248415003  2.98962661626
104.209153025  2.99061934108
103.040094317  3.02656861442
103.402837319  3.00980594849
103.156894344  3.0209976997
104.229987757  2.99582409495
102.786649621  3.03234646362
102.139063752  3.05161166545
103.11634698  3.02158024103
104.046049007  2.99145277963
103.77706353  3.00300468275
103.165750929  3.02147937896
103.673558916  3.00307768051
103.816461815  3.0022171134
103.172059527  3.02370617522
#File:  11 4000
nan  nan
nan  nan
148.549178713  1.51434602403
138.376358467  1.95848006442
128.169071893  2.37828229033
116.623915094  2.87428599587
116.231126419  2.87097425641
112.343191832  3.02805772574
110.753293659  3.08914445632
110.432668556  3.09670343912
110.220652265  3.1062062809
110.055945534  3.11189398799
109.761735051  3.11660552005
109.690552175  3.12280148252
109.878440077  3.11824254779
110.053938447  3.11165798639
109.397643439  3.13097880324
108.562660166  3.15526066127
107.789682698  3.18733290219
107.022618176  3.20527325076
107.138893925  3.20858347476
107.0872168  3.21052529792
107.798145149  3.18709885852
107.470831284  3.19559133591
107.213591877  3.20207936702
107.707303511  3.18771394672
108.379361599  3.16721079509
107.685706941  3.18297465176
107.547256669  3.19007942474
106.894917403  3.21261258107
106.635020105  3.22423104241
106.689901545  3.21957431563
108.231548997  3.17398968145
108.423857003  3.16290771776
108.36043597  3.17049057227
108.354747821  3.16635484946
109.236434402  3.13469995792
110.498312467  3.10084822012
109.795235478  3.11635594804
