File  Contact Angle  Base Radius
             
g_rad_dmap_5pc_w1000_0.0ns_0.5ns.xvg  145.485819096  1.11084969253
g_rad_dmap_5pc_w1000_0.5ns_1.0ns.xvg  136.926641246  1.35375379691
g_rad_dmap_5pc_w1000_1.0ns_1.5ns.xvg  135.62989319  1.38787152919
g_rad_dmap_5pc_w1000_1.5ns_2.0ns.xvg  127.595073782  1.60024696432
g_rad_dmap_5pc_w1000_2.0ns_2.5ns.xvg  128.7186293  1.56891478137
g_rad_dmap_5pc_w1000_2.5ns_3.0ns.xvg  130.492802981  1.52468684253
g_rad_dmap_5pc_w1000_3.0ns_3.5ns.xvg  129.9936545  1.54341397971
g_rad_dmap_5pc_w1000_3.5ns_4.0ns.xvg  132.460663924  1.47225932111
g_rad_dmap_5pc_w1000_4.0ns_4.5ns.xvg  135.482832375  1.394281091
g_rad_dmap_5pc_w1000_4.5ns_5.0ns.xvg  134.866022585  1.40818932625
g_rad_dmap_5pc_w1000_5.0ns_5.5ns.xvg  135.370162242  1.39643990663
g_rad_dmap_5pc_w1000_5.5ns_6.0ns.xvg  134.345553529  1.42087993533
g_rad_dmap_5pc_w1000_6.0ns_6.5ns.xvg  133.719930804  1.44050573439
g_rad_dmap_5pc_w1000_6.5ns_7.0ns.xvg  133.289829861  1.45296993406
g_rad_dmap_5pc_w1000_7.0ns_7.5ns.xvg  133.705824927  1.44170022051
g_rad_dmap_5pc_w1000_7.5ns_8.0ns.xvg  135.462304894  1.39298500558
g_rad_dmap_5pc_w1000_8.0ns_8.5ns.xvg  133.280522745  1.45212584717
g_rad_dmap_5pc_w1000_8.5ns_9.0ns.xvg  133.574432769  1.44032461653
g_rad_dmap_5pc_w1000_9.0ns_9.5ns.xvg  133.652330275  1.43964924965
g_rad_dmap_5pc_w1000_9.5ns_10.0ns.xvg  135.278976378  1.39810208931
g_rad_dmap_5pc_w1000_10.0ns_10.5ns.xvg  135.248882687  1.39952124284
g_rad_dmap_5pc_w1000_10.5ns_11.0ns.xvg  134.765589426  1.41189880344
g_rad_dmap_5pc_w1000_11.0ns_11.5ns.xvg  134.301511313  1.4243850264
g_rad_dmap_5pc_w1000_11.5ns_12.0ns.xvg  136.2890982  1.3707622437
g_rad_dmap_5pc_w1000_12.0ns_12.5ns.xvg  134.276430809  1.42409175624
g_rad_dmap_5pc_w1000_12.5ns_13.0ns.xvg  133.201182996  1.45388204273
g_rad_dmap_5pc_w1000_13.0ns_13.5ns.xvg  133.252144037  1.4525153314
g_rad_dmap_5pc_w1000_13.5ns_14.0ns.xvg  133.326108023  1.44877371124
g_rad_dmap_5pc_w1000_14.0ns_14.5ns.xvg  133.380914855  1.44650084367
g_rad_dmap_5pc_w1000_14.5ns_15.0ns.xvg  133.202203264  1.45287820749
g_rad_dmap_5pc_w1000_15.0ns_15.5ns.xvg  134.694526489  1.41505212316
g_rad_dmap_5pc_w1000_15.5ns_16.0ns.xvg  132.20101663  1.48027536195
g_rad_dmap_5pc_w1000_16.0ns_16.5ns.xvg  133.804578089  1.43618069643
g_rad_dmap_5pc_w1000_16.5ns_17.0ns.xvg  134.626960557  1.4144985564
g_rad_dmap_5pc_w1000_17.0ns_17.5ns.xvg  135.732874602  1.38521193375
g_rad_dmap_5pc_w1000_17.5ns_18.0ns.xvg  132.629815596  1.46789077429
g_rad_dmap_5pc_w1000_18.0ns_18.5ns.xvg  134.851960921  1.40999831535
g_rad_dmap_5pc_w1000_18.5ns_19.0ns.xvg  132.623681392  1.46603965834
g_rad_dmap_5pc_w1000_19.0ns_19.5ns.xvg  135.127132203  1.40093823144
g_rad_dmap_5pc_w1000_19.5ns_20.0ns.xvg  132.029848006  1.48827350601
g_rad_dmap_5pc_w1000_20.0ns_20.5ns.xvg  135.274774224  1.39916990833
g_rad_dmap_5pc_w1000_20.5ns_21.0ns.xvg  134.522620343  1.42039869382
g_rad_dmap_5pc_w1000_21.0ns_21.5ns.xvg  134.200072063  1.42553158339
g_rad_dmap_5pc_w1000_21.5ns_22.0ns.xvg  133.484080759  1.44967117571
g_rad_dmap_5pc_w1000_22.0ns_22.5ns.xvg  134.124949568  1.42595621068
g_rad_dmap_5pc_w1000_22.5ns_23.0ns.xvg  134.228200324  1.42666904695
g_rad_dmap_5pc_w1000_23.0ns_23.5ns.xvg  132.390968772  1.46982126538
g_rad_dmap_5pc_w1000_23.5ns_24.0ns.xvg  133.196575104  1.45301872736
g_rad_dmap_5pc_w1000_24.0ns_24.5ns.xvg  132.542799196  1.46843101919
g_rad_dmap_5pc_w1000_24.5ns_25.0ns.xvg  134.102628619  1.42789445566
g_rad_dmap_5pc_w1000_25.0ns_25.5ns.xvg  134.725797641  1.41311215145
